# mc= 12   mc= 12   mc= 12 
# ms= 0   ms= 10   ms= 100 
#  "Overhead without spacetree node memory"    "Overhead with 10 Byte spacetree node memory"    "Overhead with 100 Byte spacetree node memory" 
# g= 1 2  g= 1 2  g= 1 2
# m Overhead Overhead  m Overhead Overhead  m Overhead Overhead
 1 4.0000 9.0000   4.8333 9.8333   12.3333 17.3333
 2 2.2500 4.0000   2.4583 4.2083   4.3333 6.0833
 3 1.7778 2.7778   1.8704 2.8704   2.7037 3.7037
 4 1.5625 2.2500   1.6146 2.3021   2.0833 2.7708
 5 1.4400 1.9600   1.4733 1.9933   1.7733 2.2933
 6 1.3611 1.7778   1.3843 1.8009   1.5926 2.0093
 7 1.3061 1.6531   1.3231 1.6701   1.4762 1.8231
 8 1.2656 1.5625   1.2786 1.5755   1.3958 1.6927
 9 1.2346 1.4938   1.2449 1.5041   1.3374 1.5967
 10 1.2100 1.4400   1.2183 1.4483   1.2933 1.5233
 11 1.1901 1.3967   1.1970 1.4036   1.2590 1.4656
 12 1.1736 1.3611   1.1794 1.3669   1.2315 1.4190
 13 1.1598 1.3314   1.1647 1.3363   1.2091 1.3807
 14 1.1480 1.3061   1.1522 1.3104   1.1905 1.3486
 15 1.1378 1.2844   1.1415 1.2881   1.1748 1.3215
 16 1.1289 1.2656   1.1322 1.2689   1.1615 1.2982
 17 1.1211 1.2491   1.1240 1.2520   1.1499 1.2780
 18 1.1142 1.2346   1.1168 1.2371   1.1399 1.2603
 19 1.1080 1.2216   1.1103 1.2239   1.1311 1.2447
 20 1.1025 1.2100   1.1046 1.2121   1.1233 1.2308
 21 1.0975 1.1995   1.0994 1.2014   1.1164 1.2184
 22 1.0930 1.1901   1.0947 1.1918   1.1102 1.2073
 23 1.0888 1.1815   1.0904 1.1830   1.1046 1.1972
 24 1.0851 1.1736   1.0865 1.1751   1.0995 1.1881
 25 1.0816 1.1664   1.0829 1.1677   1.0949 1.1797
 26 1.0784 1.1598   1.0796 1.1610   1.0907 1.1721
 27 1.0754 1.1536   1.0766 1.1548   1.0869 1.1651
 28 1.0727 1.1480   1.0738 1.1490   1.0833 1.1586
 29 1.0702 1.1427   1.0711 1.1437   1.0801 1.1526
 30 1.0678 1.1378   1.0687 1.1387   1.0770 1.1470
 31 1.0656 1.1332   1.0664 1.1341   1.0742 1.1419
 32 1.0635 1.1289   1.0643 1.1297   1.0716 1.1370
 33 1.0615 1.1249   1.0623 1.1257   1.0692 1.1325
 34 1.0597 1.1211   1.0604 1.1218   1.0669 1.1283
 35 1.0580 1.1176   1.0586 1.1182   1.0648 1.1244
 36 1.0563 1.1142   1.0570 1.1148   1.0628 1.1206
 37 1.0548 1.1110   1.0554 1.1116   1.0609 1.1171
 38 1.0533 1.1080   1.0539 1.1086   1.0591 1.1138
 39 1.0519 1.1052   1.0525 1.1057   1.0574 1.1107
 40 1.0506 1.1025   1.0511 1.1030   1.0558 1.1077
 41 1.0494 1.0999   1.0499 1.1004   1.0543 1.1049
 42 1.0482 1.0975   1.0487 1.0980   1.0529 1.1022
 43 1.0471 1.0952   1.0475 1.0956   1.0516 1.0997
 44 1.0460 1.0930   1.0464 1.0934   1.0503 1.0973
 45 1.0449 1.0909   1.0453 1.0913   1.0491 1.0950
 46 1.0440 1.0888   1.0443 1.0892   1.0479 1.0928
 47 1.0430 1.0869   1.0434 1.0873   1.0468 1.0907
 48 1.0421 1.0851   1.0425 1.0854   1.0457 1.0887
 49 1.0412 1.0833   1.0416 1.0836   1.0447 1.0868
 50 1.0404 1.0816   1.0407 1.0819   1.0437 1.0849
